title,link,source,time,type,content
"5 big analyst AI moves: Buy Samsung pullback, Nvidia back as top chip pick",https://www.investing.com/news/stock-market-news/5-big-analyst-ai-moves-buy-samsung-pullback-nvidia-back-as-top-chip-pick-4548548,Investing.com,2026-03-08 09:00:02,Free,"Investing.com -- Here are the biggest analyst moves in the area of artificial intelligence (AI) for this week.

Morgan Stanley restores Nvidia as top semiconductor pick

Morgan Stanley has reinstated Nvidia (NASDAQ:NVDA) as its top semiconductor pick, arguing that the stock’s recent stagnation fails to reflect improving business fundamentals.

""For the last two quarters NVIDIA has not moved while business has continued to strengthen - a function of concerns about the durability of current growth,"" analyst Joseph Moore wrote in a Monday note.

Moore said the stock’s current valuation offers an appealing entry point, noting that Nvidia is trading at around 18 times expected 2027 earnings per share, which he described as “a surprisingly good entry point.”

The call marks a shift from Morgan Stanley’s earlier positioning, when the firm favored memory companies such as SanDisk and Micron on expectations that AI-related earnings leverage would be stronger in that segment.

That strategy proved highly successful, Moore said, with memory stocks climbing between 300% and 900% since the call. Over the same period, Nvidia’s share price remained roughly flat even as earnings expectations increased by about 38% over the past six months.

Moore said investor concerns about the durability of demand and potential market share pressures have weighed on sentiment. However, he believes both issues are starting to improve, with upcoming product updates expected to reinforce Nvidia’s leadership roadmap and help address competitive concerns.

On the demand side, Morgan Stanley’s supply-chain checks point to continued strong spending commitments from hyperscale customers. ""There is simply no indication that the current investment cycle has run its course,” Moore wrote, noting that some customers are paying upfront to secure capacity through 2028.

Easing supply constraints in AI processors could ultimately benefit Nvidia if other components such as memory, storage, optics and power become the main bottlenecks, he added.

Moore also said that investor focus on short-term supply indicators may be masking stronger underlying demand trends. In his view, any improvement in GPU lead times could support market share gains similar to those seen in previous cycles.

Nvidia currently accounts for roughly 85% of AI processor revenue share, with ASICs holding just above 10% and AMD just below 5%. While Moore acknowledged that competition may gradually increase as large customers pursue more architecturally flexible strategies, he said many deployments still favor Nvidia.

He added that major ASIC and AMD customers are expected to expand their Nvidia-related spending by more than 80% in 2026.

Buy Samsung shares on pullback: Morgan Stanley

Samsung Electronics (KS:005930) shares look increasingly attractive following their recent decline, Morgan Stanley said in a separate note, arguing that the pullback offers a potential entry point ahead of changes in AI memory architecture.

The stock has fallen more than 13% this week, underperforming the broader market, with the KOSPI down about 10% over the same period.

Morgan Stanley analyst Shawn Kim said the correction comes as the AI memory ecosystem begins shifting toward a more complex, hybrid structure as chips become increasingly specialised.

While high-bandwidth memory (HBM) continues to dominate many AI workloads, the analyst said new use cases are emerging for other types of memory. Static Random Access Memory (SRAM) ""is carving a niche for workloads where latency matters more than throughput density,” Kim stated.

Analysts expect Nvidia to unveil a new inference-focused chip at its upcoming GPU Technology Conference. According to Kim, the chip is likely to use a Language Processing Unit design built around large amounts of on-chip SRAM.

He said this type of architecture is “purpose-built for the sequential speed of inference” and is likely to appeal to customers that are “willing to pay for speed.”

Kim argued that the industry should not view the evolution as a direct competition between memory technologies. Instead, the market is moving toward a layered system where different memory types serve complementary roles.

Both technologies will “remain hierarchical, combining SRAM for hot-path execution with HBM for scalable memory capacity,"" he added.

Kim also said that LPU-based designs could also avoid “current supply chain bottlenecks in HBM and CoWoS packaging,” which have constrained parts of the AI hardware ecosystem.

Despite ongoing uncertainty about how the AI memory market will ultimately evolve, Morgan Stanley reiterated Samsung Electronics as its top pick. Kim cited the company’s progress in HBM4 qualification, its capabilities in SRAM, flexibility in its foundry operations and the potential support from a broader commodity cycle.

“Historically, such corrections have offered a good opportunity to buy,” Kim wrote, adding that earnings expectations still have “a lot of room for recovery.”

Analysts upgrade Marvell as AI outlook strengthens

Analysts at Benchmark and Bank of America upgraded Marvell Technology (NASDAQ:MRVL) to Buy after the chipmaker’s latest results and guidance strengthened expectations for accelerating growth tied to AI demand.

Marvell projected fiscal 2028 (FY28) revenue of nearly $15 billion, highlighting strong demand for its custom chips and interconnect solutions used in AI data centers. The forecast came in well above Wall Street estimates of $12.92 billion and sent the shares more than 18% higher on Friday.

The company also raised its fiscal 2027 outlook, now expecting revenue to grow more than 30% year over year to nearly $11 billion, compared with its prior projection of about $10 billion.

Bank of America analysts said the company’s latest earnings call reinforced confidence in its exposure to key AI infrastructure segments. According to analysts led by Vivek Arya, the update highlighted Marvell’s “solid leverage to AI optical connectivity,” alongside the potential success of an upcoming Microsoft custom chip program and signs the company is “turning the corner on Amazon XPU transition year.”

Benchmark analyst Cody Acree also upgraded the stock to Buy and set a $130 price target, citing several growth drivers across Marvell’s data-center and connectivity businesses.

Acree said the company is benefiting from “broadly accelerating demand trends, improving extended visibility,” supported by guidance that suggests revenue and earnings could rise significantly above current consensus estimates in the years ahead.

He added that Marvell’s custom silicon segment is expected to continue expanding, driven by ongoing engagements with hyperscale customers including Amazon and Microsoft.

Despite the recent rally in the shares, Acree said Marvell’s valuation still appears “particularly attractive versus the broader AI-semi peer complex.”

Loop Capital starts Astera Labs at Buy on AI ‘super-cycle’

This week, Astera Labs (NASDAQ:ALAB) received a bullish initiation from Loop Capital, which assigned the semiconductor company a Buy rating and a $250 price target, pointing to its central role in the AI “super-cycle.”

Loop Capital analyst Ananda Baruah said the company represents one of the clearest ways for investors to gain exposure to AI infrastructure beyond the largest chipmakers.

“We’re initiating with a Buy and a $250 PT as we see ALAB as the company most representing a diversified AI silicon ‘pure play’ (outside of NVDA),” Baruah wrote in a note.

The analyst sees Astera Labs as positioned across a broad range of AI processor ecosystems, including GPUs and alternative accelerators used in large-scale data center deployments.

He said the company’s products are designed to support performance and connectivity requirements across next-generation AI infrastructure. Astera Labs “has opportunity across essentially all Gen AI silicon flavors (GPU, Tranium, TPU and the other XPUs)” through technologies aimed at addressing performance bottlenecks in AI servers and clusters, he wrote.

Baruah believes the growing scale and complexity of AI systems will make the company’s solutions increasingly important over time.“As servers and clusters become larger and more sophisticated (i.e. increasingly complex), ALAB becomes more both critical and valuable,” he said.

The analyst also pointed to the expanding range of AI accelerators entering the market beyond those developed by Nvidia, arguing that this trend could broaden Astera Labs’ potential addressable market.

Over the longer term, Baruah sees the company building stronger competitive positioning as its technologies become embedded in AI infrastructure stacks.

He highlighted Astera Labs’ predictive software and management platform, COSMOS, which he said “could become industry standard and a real performance amplifier.” If widely adopted, the platform could create “moat-like stickiness” with customers as AI systems continue to scale, he added.

AI fears unfairly penalizing industrial software stocks, Barclays says

Industrial software stocks have been swept up in the broader market sell-off driven by fears about AI disrupting the software sector, but Barclays says the reaction has been overdone and misinterprets how enterprise software businesses generate value.

The bank’s analyst Guy Hardwick argued that the prevailing narrative — that AI will undermine the economics of software-as-a-service (SaaS) companies — overlooks the importance of services, operational reliability and industry expertise that customers actually pay for.

He said the “SaaS AI bear case is overdone,” adding that AI should represent “an incremental opportunity for our Industrial Software names rather than a threat.” The AI-driven sell-off, he added, “is unfairly penalizing Industrial Software.”

Hardwick said the view that AI will commoditize enterprise software rests on a mistaken assumption that customers primarily pay for code.

“While AI commoditizes code generation, it highlights the economic value of the service in SaaS. If code is a commodity, the value is the deep domain expertise, reliable service, and hybrid (deterministic + probabilistic) architectures,” he wrote in a research note.

“Code is an input, not the product or output,” Hardwick added, noting that successful SaaS companies moved beyond selling code years ago and now compete largely on services and sector expertise.

The market reaction implies that coding represents a large share of enterprise software value, which the analyst believes is inaccurate. Within mature SaaS companies, coding likely accounts for only a small portion of total spending.

Based on Barclays’ estimates, coding costs probably represent roughly 4% to 8% of revenue, suggesting that automated code generation would have only a limited direct financial impact.

Even so, valuations across industrial software companies have declined sharply, with Barclays noting that multiples for names under its coverage have dropped about 50% over the past six months.

Hardwick also flagged the economics of running AI systems as another factor that could benefit established software providers. While generative AI may lower development costs, operating AI software at scale can be expensive due to inference costs tied to GPUs, energy and infrastructure.

“Even if software can be generated cheaply or freely, it cannot be operated cheaply at scale,” Hardwick said, arguing this creates “a hard economic price floor” that favors companies capable of managing those costs efficiently.

He added that industrial software valuations have now fallen back to COVID-era levels and sit at historical lows relative to the S&P 500, even as the sector offers stronger free cash flow yields than many industrial tech hardware peers.

Hardwick sees several potential catalysts for a rotation back into the group, including investor fatigue with AI hardware trades, a potential reversal in semiconductor outperformance versus software, and elevated short interest across the sector."
Nvidia ties CEO Huang’s $4M bonus to 2027 revenue milestones,https://www.investing.com/news/company-news/nvidia-ties-ceo-huangs-4m-bonus-to-2027-revenue-milestones-4548250,Investing.com,2026-03-07 00:55:12,Free,"Investing.com — NVIDIA Corporation (NASDAQ:NVDA) has adopted a new variable compensation plan for fiscal 2027, setting a target cash bonus of $4 million for CEO Jensen Huang, according to a regulatory filing released Friday. The plan, approved by the company’s compensation committee on March 2, hit as the semiconductor giant’s shares slipped 3.01% to $177.82 by 16:00 ET (21:00 GMT), reflecting broader market caution despite the firm’s continued dominance in the artificial intelligence sector.

The new incentive structure ties executive payouts directly to the achievement of specific revenue goals for the fiscal year ending January 31, 2027. For Huang, the $4 million target represents 200% of his base salary, while other senior executives have been set a target of $1,500,000, or 150% of their base pay.

The chipmaker’s shift toward revenue-based milestones comes on the heels of a blockbuster fiscal 2026, where Nvidia reported record full-year revenue of $215.9 billion, representing a 65% increase year-over-year, fueled by ""off the charts"" demand for its Blackwell chip architecture.

Despite the ambitious internal targets, Nvidia faces a complex geopolitical backdrop that has recently weighed on its valuation. The company recently guided first-quarter revenue of $78 billion, notably excluding any anticipated data center compute revenue from China due to tightening U.S. export restrictions.

To offset the geopolitical headwinds, Nvidia is reportedly redirecting manufacturing capacity at Taiwan Semiconductor Manufacturing (NYSE:TSM)) away from China-compliant chips toward its next-generation Vera Rubin platform. Analysts at Tigress Financial remain bullish on the long-term trajectory, maintaining a ""Buy"" rating and noting that a positive trend in earnings estimate revisions suggests significant upside potential as the AI industry matures."
Nvidia sets $4 million target cash bonus for CEO Huang under fiscal 2027 plan,https://www.investing.com/news/stock-market-news/nvidia-sets-4-million-cash-bonus-for-ceo-huang-under-2027-compensation-plan-4547912,Reuters,2026-03-06 23:12:50,Free,"March 6 (Reuters) - Nvidia has adopted a new variable compensation plan for fiscal 2027 that sets a target cash bonus of $4 million for CEO Jensen Huang, according to a regulatory filing on Friday.

The plan, approved by Nvidia’s compensation committee on March 2, ties executive cash bonuses to the achievement of specific revenue goals for the fiscal year ending January 31, 2027.

Huang’s total compensation for 2025 was $49.9 million, driven largely by stock awards valued at $38.8 million, according to a regulatory filing in May last year.

The filing comes after Nvidia last month reported better-than-expected results for the January quarter and forecast current-quarter revenue above Wall Street estimates, underscoring expectations that heavy spending by Big Tech on artificial intelligence processors will continue.

The world’s most valuable company said it expects fiscal first-quarter sales of $78 billion, plus or minus 2%."
Oracle stock falls on report of scrapped Texas data center plans,https://www.investing.com/news/stock-market-news/oracle-stock-falls-on-report-of-scrapped-texas-data-center-plans-4547738,Investing.com,2026-03-06 20:23:25,Free,"Investing.com -- Oracle Corporation (NYSE:ORCL) shares fell 1% in Friday’s final trading hour after Bloomberg reported the company and OpenAI ended plans to expand their Texas data center site.

The stock had been trading up as much as 3% earlier in the session before the news emerged. After erasing gains and falling 1%, shares later stabilized.

Oracle and OpenAI scrapped plans to expand a flagship artificial intelligence data center in Abilene, Texas, after negotiations dragged over financing and OpenAI’s changing needs, according to Bloomberg. The collapsed talks created an opening for Meta Platforms Inc. (NASDAQ:META) to step in and consider leasing the planned expansion site from developer Crusoe.

Nvidia Corp. (NASDAQ:NVDA), the AI chipmaker, helped facilitate Meta’s discussions with the developer, Bloomberg reported. Nvidia paid a $150 million deposit to Crusoe and began helping court Meta as a tenant for the expansion, according to the report.

The 1,000-acre campus being developed by Crusoe in Abilene is part of the Stargate project, which was announced at the White House with President Donald Trump. While several parts of the site are up and running, Oracle and OpenAI elected not to go forward with tentative plans to lease a large expansion.

Oracle and OpenAI are using Nvidia’s AI semiconductors at the Stargate site. With Crusoe seeking a tenant, Nvidia became involved to ensure its products would still fill the expanded data center rather than those of rival Advanced Micro Devices Inc. (NASDAQ:AMD)."
"Proposed U.S. AI chip export licensing could slow global adoption, Bernstein says",https://www.investing.com/news/stock-market-news/proposed-us-ai-chip-export-licensing-could-slow-global-adoption-bernstein-says-4547061,Investing.com,2026-03-06 14:01:44,Free,"Investing.com -- A proposed U.S. rule requiring licenses for the global export of advanced artificial intelligence chips could introduce new friction into the rapidly expanding AI hardware market, analysts at Bernstein said.

Bernstein analyst Stacy Rasgon noted that a report that Washington is drafting regulations requiring licenses for AI chip exports worldwide briefly weighed on semiconductor stocks, including Nvidia, Advanced Micro Devices, and Broadcom.

The proposed framework is not yet finalized and could still change or be abandoned, but it would give the U.S. government broad oversight of AI chip shipments.

Bernstein believes the rules “are not meant to be an export ban,” but instead would allow Washington to effectively “gate-keep AI exports.”

Under the draft approach, chip purchases may require approval depending on order size.

Bernstein noted that shipments of up to 1,000 of Nvidia’s latest chips would undergo a “fairly simple review” process, while larger deployments would require pre-clearance and extremely large projects could involve host-government oversight.

Despite the potential policy shift, Bernstein suggested the direct commercial impact on Nvidia may be limited because much of its revenue is tied to U.S.-based customers.

In fiscal 2026, the firm said about 70% of Nvidia’s $216 billion in sales were to companies headquartered in the U.S., with Taiwan-domiciled customers accounting for roughly 20%.

Still, the firm warned that tighter rules could slow certain international deployments. Bernstein stated that “more stringent export requirements might slow sovereign adoption,” which Nvidia has estimated at more than $30 billion.

Even so, the bank expects global demand for AI computing infrastructure to remain extremely strong."
Aletheia says Broadcom stock multiples too low given growth trajectory,https://www.investing.com/news/analyst-ratings/aletheia-says-broadcom-stock-multiples-too-low-given-growth-trajectory-93CH-4546336,Investing.com,2026-03-06 10:58:54,Free,"Investing.com - Aletheia issued positive commentary on Broadcom stock following the company’s earnings report, describing the results as near perfect and reiterating a BUY rating.

The research firm said Broadcom beat expectations across all key metrics including AI revenue growth for both near-term and long-term periods, margin sustainability, customer project rollouts, and capital return. Aletheia noted management was prepared to address negative arguments from analysts.

The firm identified potential concerns including comments on CPO adoption that may disappoint, particularly as Nvidia is pushing CPO aggressively. Aletheia also questioned what growth drivers remain with management discussing 2027 and 2028 estimates.

In other recent news, Nvidia’s financial performance and strategic investments have been a focal point. Tigress Financial Partners raised its price target for Nvidia to $360, maintaining a Strong Buy rating, and highlighted Nvidia’s leadership in AI data center infrastructure as a key driver of growth. Additionally, Nvidia’s CEO Jensen Huang announced a $30 billion investment in OpenAI, while ruling out a $100 billion investment ahead of OpenAI’s anticipated public offering. CLSA reiterated a High-Conviction Outperform rating for Nvidia, noting significant earnings upgrades for the fiscal years 2027-28. Wedbush also increased its price target to $300, citing strong growth in Nvidia’s data center sales.

In related developments, VCI Global Limited launched Malaysia’s first Nvidia-powered AI GPU Computing Center, marking a significant step in AI compute infrastructure in Southeast Asia. This facility aims to support government and enterprise clients with AI computing needs. These recent developments underscore Nvidia’s expanding influence in AI technology and data center capabilities.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Wall St futures slip as Middle East conflict rages on; jobs data in focus,https://www.investing.com/news/economy-news/wall-st-futures-slip-as-middle-east-conflict-rages-on-jobs-data-in-focus-4546329,Reuters,2026-03-06 10:54:29,Free,"March 6 (Reuters) - U.S. stock index futures slipped on Friday as the conflict raging in the Middle East threatened to fuel inflation through higher energy costs, and investors awaited a pivotal jobs report.

The U.S.-Israel air campaign against Iran was nearing a week with no end in sight. Oil prices have surged the most this week since Russia’s 2022 invasion of Ukraine as shipping through the strategic Strait of Hormuz ground to a halt.

Natural gas producer Qatar said even if the Middle East war ended immediately, it would take ""weeks to months"" to return to a normal cycle of deliveries, according to a report.

Crude prices edged higher and sent airlines American and Delta 1% lower in premarket trading. The S&P 500’s passenger airlines subindex is on track for a 9%weekly drop.

A weekly jobs report is high on the radar for investors who are also watching out for the impact artificial intelligence integration by corporates could have on employment. The report is due at 8:30 a.m. ET.

Overall stronger-than-expected data this week and a spike in crude prices have pushed back expectations for a 25-basis-point interest rate cut by the Federal Reserve to October from July last month, according to LSEG-compiled data.

At 05:14 a.m. ET, Dow E-minis were down 130 points, or 0.27%, S&P 500 E-minis were down 23 points, or 0.34%. Nasdaq 100 E-minis were down 102.5 points, or 0.41%.

AI-chip stocks Nvidia and Advanced Micro Devices were down about 0.7% each. U.S. officials are debating a new regulatory framework for exporting artificial intelligence chips, although the rules were not final.

Despite the gloomy mood, U.S. stocks have fared better than their Asian and European counterparts this week, upheld by a 1.5% rebound in technology stocks from February’s losses. The tech-heavy Nasdaq is on track for small weekly gains.

Marvell Technology (O:MRVL) jumped 12% after the chip company forecast fiscal 2028 revenue above estimates.

Also supporting sentiment, the United States is perceived to be better shielded from energy shocks as it is a net exporter of oil.

Energy company Occidental added 2% on Friday and NextDecade climbed 2.3%. Natural gas exchange traded funds gained 2.2% and 1%, respectively.

Among others, Gap (N:GAP) fell 5.9% after warning about pressure and uncertainty from U.S. import tariffs and forecasting annual adjusted profit largely below estimates.

Oracle (N:ORCL) edged up 1% after a report said that the enterprise software company is planning thousands of job cuts as it faces a cash crunch from a massive AI data center expansion effort."
Futures waver amid ongoing Iran conflict; NFPs ahead - what’s moving markets,https://www.investing.com/news/economy-news/futures-rise-amid-ongoing-iran-conflict-nfps-ahead--whats-moving-markets-4546165,Investing.com,2026-03-06 09:31:42,Free,"Investing.com - Futures linked to the major U.S. stock indices waver on Friday, with investors assessing fighting in the Middle East which has shown few signs of easing. Oil prices are on pace for big weekly gains, as fears surround supplies coming through the vital Strait of Hormuz waterway. Elsewhere, the February U.S. job report is due out, while Marvell Technology shares surge as artificial intelligence-driven data center spending fuels an annual revenue forecast increase.

1. Futures waver amid Iran conflict

U.S. stock futures ticked below the flatline, with sentiment fragile as the Iran conflict entered its seventh day.

By 04:20 ET (09:20 GMT), the Dow futures contract had dropped by 72 points, or 0.2%, S&P 500 futures had slipped 15 points, or 0.2%, and Nasdaq 100 futures had fallen by 55 points, or 0.2%.

The main averages on Wall Street fell in the prior session, dragged down by a climb in oil prices as fears continued to swirl around the choking off of supplies through the narrow Strait of Hormuz waterway south of Iran.

U.S. crude futures have spiked by almost 21% since the U.S. and Israel launched joint strikes against Iran. The fighting has since spread to other parts of the Middle East and Persian Gulf, threatening oil flows out of the major producing region.

Average gasoline costs in the U.S. have jumped by 27 cents following the start of the assault to $3.25 per gallon, according to Reuters, citing data from travel group AAA.

Faced with the prospect of increased gas prices, some investors have begun to worry that a prolonged conflict may spark a surge in inflationary pressures, which could delay the timeline for potential Federal Reserve interest rate cuts later this year. U.S. bond yields have risen, denting stocks.

Beyond the U.S., soaring crude prices have weighed on Asian equities and currencies, especially in South Korea, which heavily imports oil that passes through the Strait of Hormuz. South Korea’s Kospi index ended the session broadly unchanged, but has slipped by 10.56% over the past one-week period. The main indices in Europe were also on course for their biggest weekly drops since last April.

2. Oil on pace for weekly jump

Oil prices were on track to notch hefty weekly gains, as traders remain worried that the conflict will close off the Strait of Hormuz, through which roughly 20% of the world’s oil supply passes.

In a move to ease some these concerns, the U.S. has announced it would allow the sale of Russian oil to India for a period of 30 days.

""While this might help put some immediate downward pressure on the market, it is not a game-changer. The only way for prices to come down on a sustained basis is a resumption of oil flows through the Strait of Hormuz,"" analysts at ING said in a note.

The U.S. Treasury Department is also anticipated to unveil measures aimed at corralling energy prices through financial markets, Reuters reported.

Meanwhile, there have been few signs that the fighting will soon let up. Israel launched strikes at Hezbollah targets in Lebanon and targeted Tehran, while Iran’s Revolutionary Guards launched its own barrage of drones and missiles at Tel Aviv, media reports said.

Iran has also delayed the naming of a successor to Ayatollah Ali Khamenei, who was killed in U.S. and Israeli air strikes, the New York Times has reported. Ayatollah Khamenei’s son Mojtaba Khamenei is viewed as the frontrunner for the post, but U.S. President Donald Trump has called the possible appointment ""unacceptable.""

3. NFPs ahead

Although the Iran conflict has dominated the market narrative this week, investors will shift their gaze back to the state of the U.S. economy on Friday, when the February jobs report will be released.

The U.S. is expected to have added 58,000 roles last month, down from a blowout total of 130,000 in January, and the unemployment rate is seen matching January’s pace of 4.3%.

Fed policymakers have been keeping close tabs on a U.S. labor market which has been broadly resilient, even as hiring and firing activity has remained tepid. The Fed has left interest rates steady until more clarity emerges around the trajectory of employment.

Artificial intelligence may also color how the data is perceived. Workers and analysts have long flagged that the rise of new AI tools could lead to mass white-collar layoffs, as companies cite the technology as a means of cutting costs and increasing productivity. A move last week by Jack Dorsey’s payments firm Block to slash roughly 40% of its workforce heaped fuel on to these predictions.

4. Marvell spikes

Shares of Marvell Technology jumped by more than 14% in extended hours trading, after the semiconductor company lifted its full-year revenue outlook thanks to strong ongoing data center spending by AI hyperscalers.

Mega-cap companies like Amazon and Microsoft have made AI a central focus of their operations, and plan to shell out billions of dollars to rapidly build out the data centers that power and train the nascent technology.

Firms like Marvell, which designs and proves the internal plumbing that connects data between large-scale computer systems, have been key beneficiaries of the heavy spending.

CEO Matt Murphy told investors that the firm now expect annual revenue for its fiscal 2027 to rise by over 30% versus a year ago to nearly $11 billion. Marvell’s data center unit, in particular, is anticipated to power year-on-year revenue growth in each quarter of fiscal 2027, Murphy added.

5. Nvidia asks TSMC to stop producing China chips - FT

Nvidia has asked top contract chipmaker TSMC to stop producing chips intended for China amid continued sales headwinds from U.S. export controls, the Financial Times reported on Thursday.

The world’s most valuable company has reallocated manufacturing capacity at TSMC away from its H200 chips to the next-generation Vera Rubin hardware, the FT reported, citing two people with knowledge of the matter.

The shift suggest that Nvidia no longer expects major sales of its H200 in China, especially amid increased uncertainty over U.S. export restrictions and Chinese regulatory pushback.

President Trump indicated in December that he would allow Nvidia to sell its H200 chips in China. While the H200 is a years-old chip, it is still the most advanced artificial intelligence processor Nvidia is allowed to sell in the country, under strict U.S. export controls.

But Chinese sales had stalled as U.S. lawmakers pushed for stricter restrictions on how China could use the H200 chips. China was also seen pushing back against Nvidia, as part of a broader push by Beijing for complete self-reliance across the AI industry."
"SoftBank seeks up to $40 bln loan to fund OpenAI investment, Bloomberg reports",https://www.investing.com/news/stock-market-news/softbank-seeks-up-to-40-bln-loan-to-fund-openai-investment-bloomberg-reports-4545990,Investing.com,2026-03-06 04:48:39,Free,"Investing.com-- Japan’s SoftBank Group (TYO:9984) is seeking a loan of up to $40 billion to largely finance its investment in artificial intelligence firm OpenAI, in what could become the company’s biggest-ever borrowing denominated solely in U.S. dollars, Bloomberg reported on Friday, citing people familiar with the matter.

The proposed bridge loan would carry a tenor of about 12 months and is expected to be underwritten by four lenders, including JPMorgan Chase, according to the report.

Talks with banks are ongoing, and the final terms could change, Bloomberg said.

The move underscores founder Masayoshi Son’s aggressive push to position SoftBank at the center of the global artificial intelligence boom.

SoftBank has already invested more than $30 billion in OpenAI and held about an 11% stake in the company at the end of December, making the ChatGPT developer one of the Japanese group’s largest investments.

To finance its growing AI bets, SoftBank has sold assets including its stake in NVIDIA (NASDAQ:NVDA), while OpenAI now sits alongside chip designer Arm Holdings as one of the conglomerate’s most significant holdings.

Bloomberg reported that S&P Global Ratings recently lowered SoftBank’s credit outlook, warning that heavy spending on AI investments could pressure the firm’s liquidity."
"US mulls new rules for AI chip exports, including requiring US investments by foreign firms",https://www.investing.com/news/stock-market-news/us-mulls-new-rules-for-ai-chip-exports-including-requiring-investments-by-foreign-firms-in-us-4545319,Reuters,2026-03-05 23:07:47,Free,"By Alexandra Alper and Stephen Nellis

SAN FRANCISCO, March 5 (Reuters) - U.S. officials are debating a new regulatory framework for exporting artificial intelligence chips and are considering requiring foreign nations to invest in U.S. AI data centers or security guarantees as a condition for granting exports of 200,000 chips or more, according to a document seen by Reuters.

The rules are not yet final and could change. They would be the first attempt to regulate the flow of AI chips to U.S. allies and partners since President Donald Trump’s administration said it rescinded its predecessor’s so-called AI diffusion rules. Those rules sought to keep a significant amount of AI infrastructure buildout in the U.S. and route most purchases through a handful of U.S. cloud computing companies.

If adopted, the proposal would give the Trump administration ample leverage to negotiate investments in the U.S., one of Trump’s top priorities, as it decides how many AI chips to give to each country.

The rules depart markedly from former President Joe Biden’s approach, which was based on the premise that close U.S. allies should be exempted from most restrictions on exports of the coveted chips.

The proposed rules would not affect blacklisted countries such as Russia, which cannot obtain U.S. AI chips under rules set by Biden’s administration. China, which was among those countries, got a greenlight in December to receive Nvidia’s second-most advanced AI chips. Those shipments have been held up by national security requirements that could convince China not to go through with the purchases.

According to a document seen by Reuters, even small chip installations of less than 1,000 chips could need a license. The document said that to qualify for an exemption, the exporter of the chips such as Nvidia or Advanced Micro Devices would have to monitor them, and the recipient would have to agree to use software that would not allow the chips to be linked to other chips to form a ""cluster,"" the industry term used to describe large groups of chips.

Foreign firms that want up to 100,000 chips would need to provide government-to-government assurances, according to the document seen by Reuters. It said the Trump administration already required Saudi Arabia to provide such assurances in order to purchase advanced chips.

Installations of up to 200,000 chips could also require visits from U.S. export control officials, the document seen by Reuters said.

“The rule could help the U.S. government address chip diversion to China and ensure a more secure buildout of the most powerful AI supercomputers,"" said Saif Khan, a former national security official in the Biden administration now at the Institute for Progress, a Washington think tank. ""But the license requirements are overly broad, applying globally, raising concerns that the administration intends to use the controls as negotiation leverage with allies rather than for security.”

In a statement on social media service X, the U.S. Commerce Department confirmed it was debating new rules, but said they would not be similar to what it described as a ""burdensome, overreaching, and disastrous"" framework proposed by Biden’s administration.

Instead, the Commerce Department said it would follow the mold of deals to send U.S. chips to Saudi Arabia and the United Arab Emirates, where both countries agreed to invest in the U.S.

""The Commerce Department is committed to promoting secure exports of the American tech stack,"" the department wrote. ""We successfully advanced exports through our historic Middle East agreements, and there are ongoing internal government discussions about formalizing that approach.""

The draft seen by Reuters did not touch on exports of what are known as model weights, the key parameters of an AI system that companies such as OpenAI, Anthropic and others closely guard as one of their key competitive secrets. In the Biden rule, restrictions were placed on model weights in an effort to ensure the most advanced AI was developed and deployed in trusted and secure environments.

The White House did not immediately respond to a request for comment. Nvidia and AMD did not immediately respond to requests for comment."
