title,link,source,time,type,content
"Nvidia taps Samsung, SK Hynix as exclusive HBM4 suppliers for Vera Rubin - report",https://www.investing.com/news/stock-market-news/nvidia-taps-samsung-sk-hynix-as-exclusive-hbm4-suppliers-for-vera-rubin--report-4548666,Investing.com,2026-03-09 00:59:55,Free,"Investing.com-- Samsung Electronics (KS:005930) and SK Hynix (KS:000660) have been selected as the sole suppliers of sixth-generation high-bandwidth memory (HBM4) for Nvidia’s (NASDAQ:NVDA) next flagship AI accelerator, Vera Rubin, the Korea Economic Daily reported on Monday, citing industry officials.

The decision gives South Korea’s two memory chipmakers a fresh advantage in the race to supply premium AI components, as demand for high-bandwidth memory continues to surge alongside advanced AI processors.

According to the report, the move sidelines U.S. memory rival Micron Technology (NASDAQ:MU) from the upcoming product cycle."
Investing.com’s stocks of the week,https://www.investing.com/news/stock-market-news/investingcoms-stocks-of-the-week-4547667,Investing.com,2026-03-07 09:28:52,Free,"Investing.com – It’s been an extremely turbulent week for equities.

With the Middle East conflict ongoing and showing no signs of slowing, investors are assessing its length, severity, and potential economic impact on the global economy.

This week’s volatility has resulted in some big moves. Here are Investing.com’s stocks of the week:

Memory Stocks

Memory names such as Sandisk, Western Digital, Micron and Seagate made headlines through 2025 and the beginning of this year following significant rallies. However, they have given back some gains this week.

In the last week, Sandisk has fallen by over 11%, Western Digital is down 7.9%, Micron dropped 4%, and fell Seagate 8.8%.

Airline Stocks

Airline names globally have been significantly impacted by the Middle East conflict.

American Airlines has plunged 17.1% in the last week, while Delta is down 13.4%, United Airlines has declined 18.5%, Southwest and Alaska Air Group have tumbled 20%, and JetBlue has plunged 22%.

European/UK names were also hit, with British Airways owner IAG down 20.5%, while EasyJet and Lufthansa fell around 13%.

Day One Biopharmaceuticals

Day One Biopharmaceuticals shares surged over 65% on Friday following news that the company will be acquired by Servier, an independent international pharmaceutical group.

The company will acquire Day One for $21.50 per share in cash, representing a total equity value of approximately $2.5 billion. The transaction is expected to close in the second quarter of 2026.

Marvell Technology

Marvell also rose on Friday, albeit up around 22% (as of 13:45 ET). The rally followed the company’s quarterly earnings release that saw it top consensus expectations, while also providing positive guidance.

Following the report, William Blair analyst Sebastien Naji reiterated an Outperform rating on the stock.

“Despite lingering questions around the scope and size of individual ASIC engagements, we believe Marvell is well positioned to grab its fair share of the AI infrastructure wallet with a broad portfolio of interconnect, custom ASIC, switching, and storage solutions,” the analyst wrote in a reaction note.

“Given the outlook for accelerating revenue growth over the coming quarters, we remain constructive on shares.”

The Trade Desk

The Trade Desk shares jumped more than 18% on Thursday, and despite a pullback on Friday, remain up over 23% in the last week.

Thursday’s climb followed rumors surrounding a potential partnership with OpenAI.

Following the reports, Evercore ISI analyst Mark Mahaney wrote in a note: “Relative to TTD’s 2025 gross spend of $13.4B, we believe Generative AI engines could be a significant source of incremental gross spend (e.g, press reports indicate OpenAI’s ambitions to drive $25B of annual revenue from advertising by 2030).”

However, Wedbush analyst Alicia Reese was more cautious, downgrading the stock to Underperform, stating: “We do not believe the incremental value of the rumored deal warrants the current share price.”"
Vertiv and EchoStar lead tech surge in S&P 500 rebalance,https://www.investing.com/news/stock-market-news/vertiv-and-echostar-lead-tech-surge-in-sp-500-rebalance-4548120,Investing.com,2026-03-06 22:36:34,Free,"Investing.com -- S&P Dow Jones Indices announced a sweeping overhaul of its benchmark tracking on Friday, propelling several technology and industrial firms into the prestigious S&P 500. Shares of Vertiv Holdings Co (NYSE:VRT) surged 5.6% in after-hours trading following the news, while EchoStar Corporation (NASDAQ:SATS) and Lumentum Holdings Inc (NASDAQ:LITE) also saw significant gains.

The quarterly reshuffle is designed to maintain the integrity of the market’s most-watched gauges. S&P DJI stated that ""The changes ensure that each index is more representative of its market‑capitalization range"" across the large, mid, and small-cap tiers.

Vertiv, Lumentum, Coherent Inc (NYSE:COHR), and EchoStar will officially join the S&P 500 prior to the opening of trading on Monday, March 23. To make room for these additions, the index will remove Match Group Inc (NASDAQ:MTCH), Molina Healthcare Inc (NYSE:MOH), Lamb Weston Holdings Inc (NYSE:LW), and Paycom (NYSE:PAYC).

Higher up the ladder, the S&P 100 will see a notable influx of semiconductor and industrial heavyweights, including Micron Technology Inc (NASDAQ:MU) and GE Vernova LLC (NYSE:GEV). These moves come at the expense of veteran financial firms like PayPal Holdings Inc (NASDAQ:PYPL) and American International Group Inc (NYSE:AIG), which are exiting the blue-chip 100-member club.

Investors expect these adjustments to trigger billions in passive fund flows as institutional managers realign their portfolios with the new benchmarks. The effective dates are spread across the next two weeks, beginning with the SmallCap 600 adjustment on March 13."
Micron Technology added to S&P 100,https://www.investing.com/news/pro/micron-technology-added-to-sp-100-432SI-4548085,Investing.com,2026-03-06 22:24:02,Pro,PAID
"Vertiv Holdings, Lumentum Holdings, Coherent, and EchoStar to Join S&P 500; Others to Join S&P 100, S&P MidCap 400, and S&P SmallCap 600",https://www.investing.com/news/pro/vertiv-holdings-lumentum-holdings-coherent-and-echostar-set-to-join-sp-500-others-to-join-sp-100-sp-midcap-400-and-sp-smallcap-600-432SI-4548074,Investing.com,2026-03-06 22:30:03,Pro,PAID
"Lam Research, Applied Materials among market cap stock movers on Thursday",https://www.investing.com/news/stock-market-news/lam-research-applied-materials-among-market-cap-stock-movers-on-thursday-93CH-4545077,Investing.com,2026-03-05 19:02:00,Free,"Thursday’s market has seen swings in various stocks based on news and other factors. Today, stocks like Lam Research (LRCX) and Applied Materials (AMAT) are declining, while others like Trade Desk (TTD) are rallying. Below are highlights of some of the biggest stock movers, from mega-caps to small caps.

Mega-Cap Movers

(Market Cap $200 billion USD or higher)

Large-Cap Stock Movers

(Market Cap $10-$200 billion USD)

Mid-Cap Stock Movers

(Market Cap $2-$10 billion USD)

Small-Cap Stock Movers

(Market Cap $300 million -$2 billion USD)

For real-time, market-moving news, join Investing Pro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
"Micron, Intel among market cap stock movers on Wednesday",https://www.investing.com/news/stock-market-news/micron-intel-among-market-cap-stock-movers-on-wednesday-93CH-4541940,Investing.com,2026-03-04 19:01:38,Free,"Wednesday’s market has seen swings in various stocks based on news and other factors. Today, stocks like Micron and Intel are rallying, while others such as Tesla are seeing more modest gains. Below are highlights of some of the biggest stock movers, from mega-caps to small caps.

Mega-Cap Movers (Market Cap:$200 billion USD or higher)

Large-Cap Stock Movers (Market Cap:$10-$200 billion USD)

Mid-Cap Stock Movers (Market Cap:$2-$10 billion USD)

Small-Cap Stock Movers (Market Cap:$300 million - $2 billion USD)

For real-time, market-moving news, join Investing Pro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Aletheia Capital raises Micron stock price target on AI demand,https://www.investing.com/news/analyst-ratings/aletheia-capital-raises-micron-stock-price-target-on-ai-demand-93CH-4541652,Investing.com,2026-03-04 16:07:03,Free,"The firm doubled its fiscal 2026 earnings per share estimate and tripled its fiscal 2027 estimate for the memory chip maker. Analysts currently forecast EPS of $33.69 for fiscal 2026, with the stock trading at a PEG ratio of just 0.18—suggesting attractive valuation relative to growth prospects. Aletheia Capital applied a peak 3.5 times fiscal 2027 price-to-book ratio in setting the new target.

The analyst cited surging demand for AI training and inference driving consumption of high-bandwidth memory. Agentic AI workloads are requiring large volumes of diversified memories including server DRAM, KV cache/SRAM, and CXL/ICMS.

Industry-wide supply of new DRAM and NAND in 2026 and 2027 appears limited, with NAND unlikely to see a new cleanroom until 2028. The supply constraint suggests the current memory price upcycle may persist longer than expected.

In other recent news, Micron Technology Inc. announced the shipment of customer samples for its 256GB SOCAMM2 modules, which are noted as the industry’s highest-capacity LPDRAM modules for servers. These modules utilize what Micron describes as the industry’s first monolithic 32Gb LPDDR5X die, offering a one-third increase in capacity compared to previous models. This development enables up to 2TB of LPDRAM per 8-channel server CPU. In addition, UBS raised its price target for Micron to $475, citing strengthening pricing dynamics in core DRAM and NAND, with potential shortages extending into late 2027 and 2028. Stifel also increased its price target to $550, highlighting unexpected high memory pricing and significant opportunities in server DDR5 and high-bandwidth memory. Meanwhile, Goldman Sachs maintained a Neutral rating with a $360 price target, focusing on the current undersupply in DRAM and NAND markets. These developments reflect a keen interest in Micron’s advancements and the broader memory market dynamics.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron and Coinbase among market cap stock movers on Wednesday,https://www.investing.com/news/stock-market-news/micron-and-coinbase-among-market-cap-stock-movers-on-wednesday-93CH-4541580,Investing.com,2026-03-04 15:31:37,Free,"Wednesday’s market has seen swings in various stocks based on news and other factors. Today, stocks like Micron Tech and Coinbase are rallying, while stocks like Venture Global are falling. Below are highlights of some of the biggest stock movers, from mega-caps to small caps.

For real-time, market-moving news, join Investing Pro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron Tech receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/aletheia-capital-maintains-micron-at-buy-with-a-price-target-of-65000-4541556,Investing.com,2026-03-04 15:29:01,Pro,PAID
